d1,d2,d3
0.104880079354695+-6.14672899246216e-08i,0.104880079354695+6.51925802230835e-08i,0.104880079354695+0i
0.0632682132277031+-5.02914190292358e-08i,0.0632682132277027+6.12344592809677e-08i,0.0632682132277025+-8.84756445884705e-09i
-0.341482047612253+-2.04890966415405e-08i,-0.341482047612253+5.58793544769287e-09i,-0.341482047612253+3.72529029846191e-09i
0.938611170759667+-1.19209289550781e-07i,0.938611170759664+1.7508864402771e-07i,0.938611170759665+-2.98023223876953e-08i
-0.407631100119528+-1.86264514923096e-08i,-0.407631100119528+-3.72529029846191e-09i,-0.407631100119528+7.45058059692383e-09i
-0.546691635726056+-7.45058059692383e-09i,-0.546691635726055+-3.16649675369263e-08i,-0.546691635726056+1.49011611938477e-08i
0.126159876793147+-1.2572854757309e-08i,0.126159876793147+2.74740159511566e-08i,0.126159876793147+-7.45058059692383e-09i
-0.330881958917123+-3.72529029846191e-09i,-0.330881958917122+-2.23517417907715e-08i,-0.330881958917123+7.45058059692383e-09i
0.179840529503616+-1.58324837684631e-08i,0.179840529503615+3.72529029846191e-08i,0.179840529503616+-1.11758708953857e-08i
0.894401954353461+-1.19209289550781e-07i,0.894401954353459+1.49011611938477e-07i,0.89440195435346+-2.98023223876953e-08i
-0.621824452902803+-1.11758708953857e-08i,-0.621824452902802+-4.84287738800049e-08i,-0.621824452902803+1.49011611938477e-08i
-0.56839886918481+1.49011611938477e-08i,-0.568398869184809+-3.72529029846191e-08i,-0.56839886918481+1.49011611938477e-08i
-0.231332123049424+-3.63215804100037e-08i,-0.231332123049424+3.16649675369263e-08i,-0.231332123049424+-1.86264514923096e-09i
-0.205550811055938+-3.91155481338501e-08i,-0.205550811055938+3.53902578353882e-08i,-0.205550811055939+-1.86264514923096e-09i
0.418002798256469+-8.38190317153931e-08i,0.418002798256468+1.39698386192322e-07i,0.418002798256468+-1.49011611938477e-08i
-0.209486535508569+-4.4703483581543e-08i,-0.209486535508568+2.98023223876953e-08i,-0.209486535508569+3.72529029846191e-09i
-0.556911610291348+1.49011611938477e-08i,-0.556911610291347+-4.09781932830811e-08i,-0.556911610291347+1.49011611938477e-08i
0.401560175015881+-8.94069671630859e-08i,0.40156017501588+1.21071934700012e-07i,0.40156017501588+-1.86264514923096e-08i
1.26588557008563+-1.04308128356934e-07i,1.26588557008562+1.49011611938477e-07i,1.26588557008563+-4.4703483581543e-08i
-0.471277144825453+-2.60770320892334e-08i,-0.471277144825452+5.58793544769287e-09i,-0.471277144825453+1.11758708953857e-08i
0.393625928145934+-9.68575477600098e-08i,0.393625928145933+1.13621354103088e-07i,0.393625928145933+-3.72529029846191e-09i
-0.585124695197896+-2.60770320892334e-08i,-0.585124695197895+-3.72529029846191e-09i,-0.585124695197896+7.45058059692383e-09i
-0.284436103130861+-1.67638063430786e-08i,-0.28443610313086+7.45058059692383e-09i,-0.284436103130861+3.72529029846191e-09i
-0.36946697427171+-1.49011611938477e-08i,-0.369466974271709+-1.86264514923096e-09i,-0.369466974271709+1.11758708953857e-08i
0.322315248969157+-2.98023223876953e-08i,0.322315248969156+7.82310962677002e-08i,0.322315248969156+-1.86264514923096e-08i
-0.605907898942417+1.11758708953857e-08i,-0.605907898942415+-5.58793544769287e-08i,-0.605907898942416+7.45058059692383e-09i
0.0610357417031688+-5.37838786840439e-08i,0.0610357417031687+5.58793544769287e-08i,0.0610357417031683+1.86264514923096e-09i
0.0175340977493252+-4.42378222942352e-08i,0.017534097749325+5.15719875693321e-08i,0.0175340977493247+-6.51925802230835e-09i
-0.658651019748747+-3.72529029846191e-09i,-0.658651019748745+-4.09781932830811e-08i,-0.658651019748746+1.49011611938477e-08i
-0.183844365487257+-1.9557774066925e-08i,-0.183844365487257+9.31322574615479e-09i,-0.183844365487257+3.72529029846191e-09i
0.107662890732073+-1.2572854757309e-08i,0.107662890732073+2.09547579288483e-08i,0.107662890732073+-6.51925802230835e-09i
-0.508557052123884+-3.91155481338501e-08i,-0.508557052123883+-7.45058059692383e-09i,-0.508557052123884+7.45058059692383e-09i
0.960259267744609+-1.22934579849243e-07i,0.960259267744606+1.71363353729248e-07i,0.960259267744607+-2.23517417907715e-08i
-0.520226999054929+3.72529029846191e-09i,-0.520226999054928+-2.23517417907715e-08i,-0.520226999054929+1.11758708953857e-08i
-0.319780125147266+-2.04890966415405e-08i,-0.319780125147265+-9.31322574615479e-09i,-0.319780125147266+7.45058059692383e-09i
0.128722504163964+-5.77419996261597e-08i,0.128722504163963+7.54371285438538e-08i,0.128722504163963+-1.30385160446167e-08i
0.0249470398246764+-4.4703483581543e-08i,0.0249470398246761+5.32018020749092e-08i,0.0249470398246758+-7.21774995326996e-09i
1.97435409242069+-2.23517417907715e-08i,1.97435409242069+2.08616256713867e-07i,1.97435409242069+-5.96046447753906e-08i
0.29161051880911+-4.2840838432312e-08i,0.29161051880911+5.21540641784668e-08i,0.29161051880911+-3.72529029846191e-09i
-0.1472141753147+-2.3283064365387e-08i,-0.1472141753147+1.9557774066925e-08i,-0.1472141753147+-1.86264514923096e-09i
